keyword,video_id,video_url,desc,views,likes,comments,shares,saves,downloads,forwards,author,author_username,author_nickname,author_avatar,author_followers,author_following,author_heart,bio_links,hashtags,create_time,duration,music_id,music_title,music_author,music_play_url
Glock Switch,7553645584066825480,https://www.tiktok.com/@lovebuttons1boo/video/7553645584066825480,,1249,1249,,,,,,lovebuttons1boo,,,,,,,"['https://www.tiktok.com/@lovebuttons1boo/video/7543423061861698834', 'https://www.tiktok.com/@lovebuttons1boo/video/7543423632630910215', 'https://www.tiktok.com/@lovebuttons1boo/video/7569220979210128696', 't.me/rebounder77b', 'https://www.tiktok.com/@lovebuttons1boo/video/7542348114414308616', 'https://www.tiktok.com/@lovebuttons1boo/video/7556173168759655698', 'https://www.tiktok.com/@lovebuttons1boo/video/7542348518434868487', 'https://t.me/rebounder77b', 'https://www.tiktok.com/@lovebuttons1boo/video/7552622384440708359', 'https://www.tiktok.com/link/v2?aid=1988&lang=nl-NL&scene=bio_url&target=https%3A%2F%2Ft.me%2Frebounder77b', 'https://www.tiktok.com/@lovebuttons1boo/video/7552359829222837522', 'https://www.tiktok.com/@lovebuttons1boo/video/7576427187612470539', 'https://www.tiktok.com/@lovebuttons1boo/video/7541697374515760391', 'https://www.tiktok.com/@lovebuttons1boo/video/7586622966432107787', 'https://www.tiktok.com/@lovebuttons1boo/video/7550237416989265159', 'https://www.tiktok.com/@lovebuttons1boo/video/7553645584066825480', 'https://www.tiktok.com/@lovebuttons1boo/photo/7576426284276927800', 'https://www.tiktok.com/@lovebuttons1boo/video/7552108000723340562', 'https://www.tiktok.com/@lovebuttons1boo/video/7557293747940248850', 'https://www.tiktok.com/@lovebuttons1boo/video/7541697816519855378']",[],,,,,,
Glock Switch,7542348518434868487,https://www.tiktok.com/@lovebuttons1boo/video/7542348518434868487,,927,927,,,,,,lovebuttons1boo,,,,,,,"['https://www.tiktok.com/@lovebuttons1boo/video/7543423061861698834', 'https://www.tiktok.com/@lovebuttons1boo/video/7543423632630910215', 'https://www.tiktok.com/@lovebuttons1boo/video/7569220979210128696', 't.me/rebounder77b', 'https://www.tiktok.com/@lovebuttons1boo/video/7542348114414308616', 'https://www.tiktok.com/@lovebuttons1boo/video/7556173168759655698', 'https://www.tiktok.com/@lovebuttons1boo/video/7542348518434868487', 'https://t.me/rebounder77b', 'https://www.tiktok.com/@lovebuttons1boo/video/7552622384440708359', 'https://www.tiktok.com/link/v2?aid=1988&lang=nl-NL&scene=bio_url&target=https%3A%2F%2Ft.me%2Frebounder77b', 'https://www.tiktok.com/@lovebuttons1boo/video/7552359829222837522', 'https://www.tiktok.com/@lovebuttons1boo/video/7576427187612470539', 'https://www.tiktok.com/@lovebuttons1boo/video/7541697374515760391', 'https://www.tiktok.com/@lovebuttons1boo/video/7586622966432107787', 'https://www.tiktok.com/@lovebuttons1boo/video/7550237416989265159', 'https://www.tiktok.com/@lovebuttons1boo/video/7553645584066825480', 'https://www.tiktok.com/@lovebuttons1boo/photo/7576426284276927800', 'https://www.tiktok.com/@lovebuttons1boo/video/7552108000723340562', 'https://www.tiktok.com/@lovebuttons1boo/video/7557293747940248850', 'https://www.tiktok.com/@lovebuttons1boo/video/7541697816519855378']",[],,,,,,
Glock Switch,7267653576716061994,https://www.tiktok.com/@wetterweaponry/video/7267653576716061994,BUY NOW LINK IN BIO,160,160,,,,,,wetterweaponry,,,,,,,"['https://www.tiktok.com/@wetterweaponry/video/7267019837006761259', 'https://www.tiktok.com/@wetterweaponry/video/7267623487819255086', 'https://www.tiktok.com/@wetterweaponry/video/7267000518495538474', 'https://www.tiktok.com/@wetterweaponry/video/7267254771470503214', 'https://e7a013-2.myshopify.com/', 'https://www.tiktok.com/@wetterweaponry/video/7267670521607720235', 'https://www.tiktok.com/@wetterweaponry/video/7268116950780316970', 'https://www.tiktok.com/@wetterweaponry/video/7267653576716061994', 'https://www.tiktok.com/@wetterweaponry/video/7267402116430449962', 'https://www.tiktok.com/@wetterweaponry/video/7267255960232545579', 'https://www.tiktok.com/@wetterweaponry/video/7267004168861142315', 'https://www.tiktok.com/@wetterweaponry/video/7267641137307929898', 'https://www.tiktok.com/@wetterweaponry/video/7268132868608527658']",[],,,,,,
Glock Switch,7583001878540094750,https://www.tiktok.com/@traylittle/video/7583001878540094750,Chicago don’t wait for the follow up question 😭,12.8K,12.8K,,,,,,traylittle,,,,,,,"['https://www.tiktok.com/@traylittle/video/7601658205327854879', 'https://www.tiktok.com/@traylittle/video/7603885800404569375', 'https://www.tiktok.com/@traylittle/video/7600457203463539999', 'https://www.tiktok.com/@traylittle/video/7599008687050591518', 'https://www.tiktok.com/@traylittle/video/7601614462860201246', 'https://www.tiktok.com/@traylittle/video/7599851867346079006', 'https://www.tiktok.com/@traylittle/video/7595329839872183582', 'https://www.tiktok.com/@traylittle/video/7600916675545959711', 'https://www.tiktok.com/@traylittle/video/7598960909352029471', 'https://www.tiktok.com/@traylittle/video/7599281523979734303', 'https://www.tiktok.com/@traylittle/video/7598364574752066846', 'https://www.tiktok.com/@traylittle/video/7598348119004171551', 'https://www.tiktok.com/@traylittle/video/7601218768366308639', 'https://www.tiktok.com/@traylittle/video/7602135619078196511', 'https://www.tiktok.com/@traylittle/video/7599668168222592287', 'https://www.tiktok.com/@traylittle/video/7600842059947232543', 'https://www.tiktok.com/@traylittle/video/7600979836772961566', 'https://www.tiktok.com/link/v2?aid=1988&lang=nl-NL&scene=bio_url&target=https%3A%2F%2Fdiscord.gg%2FDpYuAXDBm', 'https://www.tiktok.com/@traylittle/video/7601576233087929630', 'https://www.tiktok.com/@traylittle/video/7599089694768368927', 'https://www.tiktok.com/@traylittle/video/7602098722201193758', 'https://www.tiktok.com/@traylittle/video/7602683650387315998', 'https://www.tiktok.com/@traylittle/video/7598930912197365023', 'https://www.tiktok.com/@traylittle/video/7603446051332263198', 'discord.gg/DpYuAXDBm', 'https://www.tiktok.com/@traylittle/video/7599054131856248095', 'https://www.tiktok.com/@traylittle/video/7602906910441966878', 'https://www.tiktok.com/@traylittle/video/7603409163674340639', 'https://www.tiktok.com/@traylittle/video/7601338821376101662', 'https://www.tiktok.com/@traylittle/video/7598681525546208542', 'https://www.tiktok.com/@traylittle/video/7602291021950618911', 'https://www.tiktok.com/@traylittle/video/7598563320932732191', 'https://www.tiktok.com/@traylittle/video/7602382925425921310', 'https://www.tiktok.com/@traylittle/video/7597250212112928030', 'https://www.tiktok.com/@traylittle/video/7600142762935078175', 'https://discord.gg/DpYuAXDBm', 'https://www.tiktok.com/@traylittle/video/7598700187531382047', 'https://www.tiktok.com/@traylittle/video/7598615769508859166', 'https://www.tiktok.com/@traylittle/video/7595792852181929246', 'https://www.tiktok.com/@traylittle/video/7599038063314046238', 'https://www.tiktok.com/@traylittle/video/7599301047135341854']",[],,,,,,
Glock Switch,7495788553499086111,https://www.tiktok.com/@traylittle/video/7495788553499086111,Replying to @ariel.a210 #greenscreen this is how someone would swallow a Glock switch. ##didyouknow##worstthingtodo,136.8K,136.8K,,,,,,traylittle,,,,,,,"['https://www.tiktok.com/@traylittle/video/7601658205327854879', 'https://www.tiktok.com/@traylittle/video/7603885800404569375', 'https://www.tiktok.com/@traylittle/video/7600457203463539999', 'https://www.tiktok.com/@traylittle/video/7599008687050591518', 'https://www.tiktok.com/@traylittle/video/7601614462860201246', 'https://www.tiktok.com/@traylittle/video/7599851867346079006', 'https://www.tiktok.com/@traylittle/video/7595329839872183582', 'https://www.tiktok.com/@traylittle/video/7600916675545959711', 'https://www.tiktok.com/@traylittle/video/7598960909352029471', 'https://www.tiktok.com/@traylittle/video/7599281523979734303', 'https://www.tiktok.com/@traylittle/video/7598364574752066846', 'https://www.tiktok.com/@traylittle/video/7598348119004171551', 'https://www.tiktok.com/@traylittle/video/7601218768366308639', 'https://www.tiktok.com/@traylittle/video/7602135619078196511', 'https://www.tiktok.com/@traylittle/video/7599668168222592287', 'https://www.tiktok.com/@traylittle/video/7600842059947232543', 'https://www.tiktok.com/@traylittle/video/7600979836772961566', 'https://www.tiktok.com/link/v2?aid=1988&lang=nl-NL&scene=bio_url&target=https%3A%2F%2Fdiscord.gg%2FDpYuAXDBm', 'https://www.tiktok.com/@traylittle/video/7601576233087929630', 'https://www.tiktok.com/@traylittle/video/7599089694768368927', 'https://www.tiktok.com/@traylittle/video/7602098722201193758', 'https://www.tiktok.com/@traylittle/video/7602683650387315998', 'https://www.tiktok.com/@traylittle/video/7598930912197365023', 'https://www.tiktok.com/@traylittle/video/7603446051332263198', 'discord.gg/DpYuAXDBm', 'https://www.tiktok.com/@traylittle/video/7599054131856248095', 'https://www.tiktok.com/@traylittle/video/7602906910441966878', 'https://www.tiktok.com/@traylittle/video/7603409163674340639', 'https://www.tiktok.com/@traylittle/video/7601338821376101662', 'https://www.tiktok.com/@traylittle/video/7598681525546208542', 'https://www.tiktok.com/@traylittle/video/7602291021950618911', 'https://www.tiktok.com/@traylittle/video/7598563320932732191', 'https://www.tiktok.com/@traylittle/video/7602382925425921310', 'https://www.tiktok.com/@traylittle/video/7597250212112928030', 'https://www.tiktok.com/@traylittle/video/7600142762935078175', 'https://discord.gg/DpYuAXDBm', 'https://www.tiktok.com/@traylittle/video/7598700187531382047', 'https://www.tiktok.com/@traylittle/video/7598615769508859166', 'https://www.tiktok.com/@traylittle/video/7595792852181929246', 'https://www.tiktok.com/@traylittle/video/7599038063314046238', 'https://www.tiktok.com/@traylittle/video/7599301047135341854']","['greenscreen', 'didyouknow', 'worstthingtodo']",,,,,,
Glock Switch,7493740633539169582,https://www.tiktok.com/@nixstah/video/7493740633539169582,This Grekhova class melts on Warzone Season 3 🔥 #callofduty #blackops6 #warzone #gaming #nixstah,97.3K,97.3K,,,,,,nixstah,,,,,,,"['https://www.tiktok.com/@nixstah/video/7603949332433341710', 'https://www.tiktok.com/@nixstah/video/7586167743787961614', 'https://www.tiktok.com/@nixstah/video/7598276211835505934', 'https://www.tiktok.com/@nixstah/video/7582422810899828023', 'https://www.tiktok.com/@nixstah/video/7593964416102698295', 'https://www.tiktok.com/@nixstah/video/7589091443197709582', 'https://www.tiktok.com/@nixstah/video/7583523792731901197', 'https://www.tiktok.com/@nixstah/video/7594312035450490125', 'https://www.tiktok.com/@nixstah/video/7582775315261361422', 'https://www.tiktok.com/@nixstah/video/7585054200107683127', 'https://www.tiktok.com/@nixstah/video/7583192572282113293', 'https://www.tiktok.com/@nixstah/video/7586548962883112206', 'https://www.tiktok.com/@nixstah/video/7603441250351533325', 'https://www.tiktok.com/@nixstah/video/7590235890669096205', 'https://www.tiktok.com/@nixstah/video/7598784559999683895', 'https://www.tiktok.com/@nixstah/video/7588740672384027918', 'linktr.ee/nixstah', 'https://www.tiktok.com/@nixstah/video/7598263344356674830', 'https://www.tiktok.com/@nixstah/video/7603499522278444302', 'https://www.tiktok.com/@nixstah/video/7582810509435604237', 'https://www.tiktok.com/@nixstah/video/7596541596586331405', 'https://www.tiktok.com/@nixstah/video/7596926273432096013', 'https://www.tiktok.com/@nixstah/video/7603452647164759310', 'https://www.tiktok.com/@nixstah/video/7593589352605764877', 'https://www.tiktok.com/@nixstah/video/7591722256309423415', 'https://www.tiktok.com/@nixstah/video/7590968033615695159', 'https://linktr.ee/nixstah', 'https://www.tiktok.com/@nixstah/video/7586846734270172429', 'https://www.tiktok.com/@nixstah/video/7589508903801605389', 'https://www.tiktok.com/@nixstah/video/7582819934586047799', 'https://www.tiktok.com/@nixstah/video/7582796236269325623', 'https://www.tiktok.com/@nixstah/video/7589862760234749198', 'https://www.tiktok.com/@nixstah/video/7582784118627355959', 'https://www.tiktok.com/@nixstah/video/7588390085477944590', 'https://www.tiktok.com/link/v2?aid=1988&lang=nl-NL&scene=bio_url&target=https%3A%2F%2Flinktr.ee%2Fnixstah', 'https://www.tiktok.com/@nixstah/video/7599157300271648013', 'https://www.tiktok.com/@nixstah/video/7592842185200930103', 'https://www.tiktok.com/@nixstah/video/7597293196099521805']","['callofduty', 'blackops6', 'warzone', 'gaming', 'nixstah']",,,,,,
Glock Switch,7224953291283696938,https://www.tiktok.com/@tdfsimba/video/7224953291283696938,#foryou #fyp #gaming #police #shooting,1972,1972,,,,,,tdfsimba,,,,,,,"['https://www.tiktok.com/@tdfsimba/video/7542676587674684702', 'https://www.tiktok.com/@tdfsimba/photo/7543834509385403679', 'https://www.tiktok.com/@tdfsimba/video/7589406843588431159', 'https://www.tiktok.com/@tdfsimba/video/7547423319943843102', 'https://www.tiktok.com/@tdfsimba/video/7577132719830830367', 'https://www.tiktok.com/@tdfsimba/photo/7543833654544387358', 'https://www.tiktok.com/@tdfsimba/video/7535797954846739742', 'https://www.tiktok.com/@tdfsimba/video/7175742851333115178', 'https://www.tiktok.com/@tdfsimba/video/7548282385406676254', 'https://beacons.ai/tdfsimba', 'https://www.tiktok.com/@tdfsimba/video/7539234609813343518', 'https://www.tiktok.com/@tdfsimba/video/7550862182490197279', 'https://www.tiktok.com/@tdfsimba/video/7548315805033811230', 'https://www.tiktok.com/@tdfsimba/video/7597258296889756959', 'https://www.tiktok.com/@tdfsimba/video/7548307302575639838', 'https://www.tiktok.com/@tdfsimba/video/7576175952552594719', 'https://www.tiktok.com/@tdfsimba/video/7582867505627155726', 'https://www.tiktok.com/@tdfsimba/video/7549448723458264350', 'https://www.tiktok.com/@tdfsimba/video/7198789221665246510', 'https://www.tiktok.com/@tdfsimba/video/7549053893552999711', 'https://www.tiktok.com/link/v2?aid=1988&lang=nl-NL&scene=bio_url&target=https%3A%2F%2Fbeacons.ai%2Ftdfsimba', 'https://www.tiktok.com/@tdfsimba/video/7566127101162622238', 'https://www.tiktok.com/@tdfsimba/video/7561636968984186142', 'https://www.tiktok.com/@tdfsimba/video/7592469840493923615', 'https://www.tiktok.com/@tdfsimba/video/7541246294828780831', 'https://www.tiktok.com/@tdfsimba/video/7550650064335686942', 'https://www.tiktok.com/@tdfsimba/video/7588673450869394718', 'https://www.tiktok.com/@tdfsimba/video/7549764930853948702', 'https://www.tiktok.com/@tdfsimba/video/7588659872351128863', 'https://www.tiktok.com/@tdfsimba/video/7196065644746640686', 'https://www.tiktok.com/@tdfsimba/video/7553857910460124446', 'https://www.tiktok.com/@tdfsimba/video/7568014335277157662', 'https://www.tiktok.com/@tdfsimba/video/7561685023758322974', 'https://www.tiktok.com/@tdfsimba/video/7541453394083433758', 'https://www.tiktok.com/@tdfsimba/video/7547435636995755295', 'https://www.tiktok.com/@tdfsimba/video/7541136565372751135', 'https://www.tiktok.com/@tdfsimba/video/7541208994824736031', 'https://www.tiktok.com/@tdfsimba/video/7540660234730081566', 'beacons.ai/tdfsimba', 'https://www.tiktok.com/@tdfsimba/video/7590978770740219166', 'https://www.tiktok.com/@tdfsimba/video/7543115221116767518']","['foryou', 'fyp', 'gaming', 'police', 'shooting']",,,,,,
Glock Switch,7278134485281951019,https://www.tiktok.com/@anthonyraysmithbr/video/7278134485281951019,🤦🏾‍♂️🙅🏿‍♂️#bullshiť #fyp 🤣🤣🤣🤣🤣🤣,217,217,,,,,,anthonyraysmithbr,,,,,,,[],"['bullshiť', 'fyp']",,,,,,
Glock Switch,7590522474937191711,https://www.tiktok.com/@traylittle/video/7590522474937191711,Most dangerous Glock with a switch a fully ARP? #StreetSmarts #kansas #Traylittle #mostdangerous #rap,73.1K,73.1K,,,,,,traylittle,,,,,,,"['https://www.tiktok.com/@traylittle/video/7601658205327854879', 'https://www.tiktok.com/@traylittle/video/7603885800404569375', 'https://www.tiktok.com/@traylittle/video/7600457203463539999', 'https://www.tiktok.com/@traylittle/video/7599008687050591518', 'https://www.tiktok.com/@traylittle/video/7601614462860201246', 'https://www.tiktok.com/@traylittle/video/7599851867346079006', 'https://www.tiktok.com/@traylittle/video/7595329839872183582', 'https://www.tiktok.com/@traylittle/video/7600916675545959711', 'https://www.tiktok.com/@traylittle/video/7598960909352029471', 'https://www.tiktok.com/@traylittle/video/7599281523979734303', 'https://www.tiktok.com/@traylittle/video/7598364574752066846', 'https://www.tiktok.com/@traylittle/video/7598348119004171551', 'https://www.tiktok.com/@traylittle/video/7601218768366308639', 'https://www.tiktok.com/@traylittle/video/7602135619078196511', 'https://www.tiktok.com/@traylittle/video/7599668168222592287', 'https://www.tiktok.com/@traylittle/video/7600842059947232543', 'https://www.tiktok.com/@traylittle/video/7600979836772961566', 'https://www.tiktok.com/link/v2?aid=1988&lang=nl-NL&scene=bio_url&target=https%3A%2F%2Fdiscord.gg%2FDpYuAXDBm', 'https://www.tiktok.com/@traylittle/video/7601576233087929630', 'https://www.tiktok.com/@traylittle/video/7599089694768368927', 'https://www.tiktok.com/@traylittle/video/7602098722201193758', 'https://www.tiktok.com/@traylittle/video/7602683650387315998', 'https://www.tiktok.com/@traylittle/video/7598930912197365023', 'https://www.tiktok.com/@traylittle/video/7603446051332263198', 'discord.gg/DpYuAXDBm', 'https://www.tiktok.com/@traylittle/video/7599054131856248095', 'https://www.tiktok.com/@traylittle/video/7602906910441966878', 'https://www.tiktok.com/@traylittle/video/7603409163674340639', 'https://www.tiktok.com/@traylittle/video/7601338821376101662', 'https://www.tiktok.com/@traylittle/video/7598681525546208542', 'https://www.tiktok.com/@traylittle/video/7602291021950618911', 'https://www.tiktok.com/@traylittle/video/7598563320932732191', 'https://www.tiktok.com/@traylittle/video/7602382925425921310', 'https://www.tiktok.com/@traylittle/video/7597250212112928030', 'https://www.tiktok.com/@traylittle/video/7600142762935078175', 'https://discord.gg/DpYuAXDBm', 'https://www.tiktok.com/@traylittle/video/7598700187531382047', 'https://www.tiktok.com/@traylittle/video/7598615769508859166', 'https://www.tiktok.com/@traylittle/video/7595792852181929246', 'https://www.tiktok.com/@traylittle/video/7599038063314046238', 'https://www.tiktok.com/@traylittle/video/7599301047135341854']","['StreetSmarts', 'kansas', 'Traylittle', 'mostdangerous', 'rap']",,,,,,
Glock Switch,7245801782071414059,https://www.tiktok.com/@vondamartyr/video/7245801782071414059,,485,485,,,,,,vondamartyr,,,,,,,"['https://www.tiktok.com/@vondamartyr/video/7590850635940039991', 'https://www.tiktok.com/@vondamartyr/video/7587681603896249614', 'https://www.tiktok.com/@vondamartyr/video/7582766027356851511', 'https://www.tiktok.com/@vondamartyr/video/7550327362815151373', 'https://www.tiktok.com/@vondamartyr/video/7592758073542872333', 'https://www.tiktok.com/@vondamartyr/video/7596683502611942669', 'https://www.tiktok.com/@vondamartyr/photo/7548544819430313230', 'https://www.tiktok.com/@vondamartyr/video/7548491372605508878', 'https://www.tiktok.com/@vondamartyr/video/7592765950299032845', 'https://www.tiktok.com/@vondamartyr/video/7580439573294025997', 'https://www.tiktok.com/@vondamartyr/video/7593795812405087543', 'https://www.tiktok.com/@vondamartyr/video/7592442102739373326', 'https://www.tiktok.com/@vondamartyr/video/7575611026515840311', 'https://www.tiktok.com/@vondamartyr/video/7603570946896596237', 'https://www.tiktok.com/@vondamartyr/video/7582293733949918478', 'https://www.tiktok.com/@vondamartyr/video/7590971428963421453', 'https://www.tiktok.com/@vondamartyr/video/7603540045282249997', 'https://www.tiktok.com/@vondamartyr/video/7603039912354532622', 'https://www.tiktok.com/@vondamartyr/video/7559370353269542158', 'https://www.tiktok.com/@vondamartyr/video/7592660475343572237', 'https://www.tiktok.com/@vondamartyr/video/7599729882460867870', 'https://www.tiktok.com/@vondamartyr/video/7588444998216060215', 'https://www.tiktok.com/@vondamartyr/video/7578573909998521614', 'https://www.tiktok.com/@vondamartyr/video/7549720423924092173', 'https://www.tiktok.com/@vondamartyr/photo/7551837583165246775', 'https://www.tiktok.com/@vondamartyr/video/7550328469557759245', 'https://www.tiktok.com/@vondamartyr/video/7594204569526127885', 'https://www.tiktok.com/@vondamartyr/video/7549303487746592014', 'https://www.tiktok.com/@vondamartyr/video/7596717615008009485', 'https://www.tiktok.com/@vondamartyr/video/7575013968289336589', 'https://www.tiktok.com/@vondamartyr/video/7601982116280208653', 'https://www.tiktok.com/@vondamartyr/video/7596661872451915021', 'https://www.tiktok.com/@vondamartyr/video/7559776028307000589', 'https://www.tiktok.com/@vondamartyr/video/7581913270190181687']",[],,,,,,
